timestamp,test_type,total_elapsed_time,rate,photo_count,is_face_recognition,is_face_authentication,similarity,path
2025-08-22T15:49:10.277621,FRR,00분 30초,0.24%,850,true,true,0.8820987343788147,assets/images/frr/CHRIS-(999)-213.jpg
2025-08-22T15:49:10.277653,FRR,00분 30초,0.24%,850,true,true,0.882161557674408,assets/images/frr/CHRIS-(999)-212.jpg
2025-08-22T15:49:10.277656,FRR,00분 30초,0.24%,850,true,true,0.815068244934082,assets/images/frr/CHRIS-(999)-211.jpg
2025-08-22T15:49:10.277658,FRR,00분 30초,0.24%,850,true,true,0.8440590500831604,assets/images/frr/CHRIS-(999)-210.jpg
2025-08-22T15:49:10.277660,FRR,00분 30초,0.24%,850,true,true,0.7734265327453613,assets/images/frr/CHRIS-(999)-21.jpg
2025-08-22T15:49:10.277662,FRR,00분 30초,0.24%,850,true,true,0.845840573310852,assets/images/frr/CHRIS-(999)-209.jpg
2025-08-22T15:49:10.277664,FRR,00분 30초,0.24%,850,true,true,0.8893554210662842,assets/images/frr/CHRIS-(999)-208.jpg
2025-08-22T15:49:10.277666,FRR,00분 30초,0.24%,850,true,true,0.814310610294342,assets/images/frr/CHRIS-(999)-207.jpg
2025-08-22T15:49:10.277667,FRR,00분 29초,0.24%,850,true,true,0.8064587712287903,assets/images/frr/CHRIS-(999)-206.jpg
2025-08-22T15:49:10.277669,FRR,00분 29초,0.24%,850,true,true,0.8494178652763367,assets/images/frr/CHRIS-(999)-205.jpg
2025-08-22T15:49:10.277671,FRR,00분 29초,0.24%,850,true,true,0.8521969318389893,assets/images/frr/CHRIS-(999)-204.jpg
2025-08-22T15:49:10.277672,FRR,00분 29초,0.24%,850,true,true,0.8526376485824585,assets/images/frr/CHRIS-(999)-203.jpg
2025-08-22T15:49:10.277674,FRR,00분 29초,0.24%,850,true,true,0.8810287714004517,assets/images/frr/CHRIS-(999)-202.jpg
2025-08-22T15:49:10.277675,FRR,00분 29초,0.24%,850,true,true,0.8470751047134399,assets/images/frr/CHRIS-(999)-201.jpg
2025-08-22T15:49:10.277677,FRR,00분 29초,0.24%,850,true,true,0.8328893780708313,assets/images/frr/CHRIS-(999)-200.jpg
2025-08-22T15:49:10.277678,FRR,00분 29초,0.24%,850,true,true,0.7215901017189026,assets/images/frr/CHRIS-(999)-20.jpg
2025-08-22T15:49:10.277680,FRR,00분 29초,0.24%,850,true,true,0.8491323590278625,assets/images/frr/CHRIS-(999)-2.jpg
2025-08-22T15:49:10.277681,FRR,00분 29초,0.24%,850,true,true,0.8129150867462158,assets/images/frr/CHRIS-(999)-199.jpg
2025-08-22T15:49:10.277682,FRR,00분 29초,0.24%,850,true,true,0.8289913535118103,assets/images/frr/CHRIS-(999)-198.jpg
2025-08-22T15:49:10.277683,FRR,00분 29초,0.24%,850,true,true,0.7817954421043396,assets/images/frr/CHRIS-(999)-197.jpg
2025-08-22T15:49:10.277685,FRR,00분 29초,0.24%,850,true,true,0.8735756278038025,assets/images/frr/CHRIS-(999)-196.jpg
2025-08-22T15:49:10.277686,FRR,00분 29초,0.24%,850,true,true,0.8745039701461792,assets/images/frr/CHRIS-(999)-195.jpg
2025-08-22T15:49:10.277687,FRR,00분 29초,0.24%,850,true,true,0.7850930094718933,assets/images/frr/CHRIS-(999)-194.jpg
2025-08-22T15:49:10.277689,FRR,00분 29초,0.24%,850,true,true,0.7376779317855835,assets/images/frr/CHRIS-(999)-193.jpg
2025-08-22T15:49:10.277690,FRR,00분 29초,0.24%,850,true,true,0.7323180437088013,assets/images/frr/CHRIS-(999)-192.jpg
